,0,1
Strategy,New weights,M_Cap_weights
Average Return (%),0.3863607744755522,0.45617498043483573
Variance (%),0.0003427857351413964,0.00042762687562685397
Standard Deviation (%),0.18514473666334574,0.20679141075655294
Sharpe Ratio,2.0868039861056578,2.205966769924849
Tracking Error (%),0.07972910488971113,0.0
Information Ratio,-0.8756426659481146,
Alpha (%),0.00934384285976569,1.7076184216646695e-16
Beta,0.8264743744963959,0.9999999999999996
