Ticker,Value,Quality,Small-Cap,High-Dividend,Low-Vol,Momentum,Large-Cap,Profitability
Value,0.032971719156694154,0.024782394479132466,0.015439702338669146,0.019975421236755834,0.015984098190203824,0.02178155541482696,0.024792276541269313,0.014741629170003748
Quality,0.024782394479132466,0.10764847385565218,0.05666188878622601,0.01822051734162011,0.022377393863243885,0.03763663729512738,0.05583367978321414,0.015463732476365132
Small-Cap,0.015439702338669146,0.05666188878622601,0.19844979896277173,0.0124633104837891,0.025267173389432258,0.024534658253738566,0.05264382578386955,0.0019759716207860393
High-Dividend,0.019975421236755834,0.01822051734162011,0.0124633104837891,0.058249576412316935,0.011212020600313892,0.014292579960175644,0.01554363079735025,0.028051177898296635
Low-Vol,0.015984098190203824,0.022377393863243885,0.025267173389432258,0.011212020600313892,0.06079412007014475,0.01811767222574799,0.02391388093065774,0.006328583063368875
Momentum,0.02178155541482696,0.03763663729512738,0.024534658253738566,0.014292579960175644,0.01811767222574799,0.09014479055607903,0.03406892456541387,0.007382267400217874
Large-Cap,0.024792276541269313,0.05583367978321414,0.05264382578386955,0.01554363079735025,0.02391388093065774,0.03406892456541387,0.10066812977438915,0.014929167667123173
Profitability,0.014741629170003748,0.015463732476365132,0.0019759716207860393,0.028051177898296635,0.006328583063368875,0.007382267400217874,0.014929167667123173,0.17498861492879617
