,Securities,Equal Allocation,Max Sharpe,Minimum Variance,Risk Parity,Mean Variance,Black-litterman
0,Value,12.5,0.53,43.46,16.77,0.0,32.845763656234006
1,Quality,12.5,29.720000000000002,0.0,9.610000000000001,46.72,5.308535364210243
2,Small-Cap,12.5,10.85,4.07,9.030000000000001,12.29,0.6415232344610431
3,High-Dividend,12.5,37.9,17.080000000000002,15.49,28.92,1.4752759568241458
4,Low-Vol,12.5,0.0,20.75,15.440000000000001,0.0,4.515367635545084
5,Momentum,12.5,9.28,7.95,12.22,0.0,8.341478518010431
6,Large-Cap,12.5,0.0,0.3,10.01,0.0,52.01694794600662
7,Profitability,12.5,11.72,6.4,11.42,12.07,2.430639389105022
